ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-3.17371e-05,-1.07844e-05,-1.57998e-05,-1.95146e-05,1.49378e-05,-1.46419e-05,4.04106e-05,6.1967e-06,0
-3.26854e-05,-7.05369e-06,-1.58337e-05,-1.3584e-05,1.65812e-05,-1.37809e-05,2.4564e-05,5.44115e-06,0
-3.28543e-05,-1.46339e-06,-1.50406e-05,-6.8795e-06,1.70205e-05,-1.39637e-05,7.32962e-06,5.59025e-06,0
-3.39762e-05,5.76668e-06,-1.39674e-05,-3.30152e-06,1.7789e-05,-1.48007e-05,-1.01685e-05,7.43421e-06,0
-3.4722e-05,1.19265e-05,-1.36229e-05,-2.81725e-06,1.94665e-05,-1.55948e-05,-2.52183e-05,7.38311e-06,0
-3.32848e-05,1.60193e-05,-1.37119e-05,-3.41561e-06,1.8985e-05,-1.48348e-05,-3.06e-05,5.76252e-06,0
-3.26836e-05,1.77522e-05,-1.40454e-05,-4.46739e-06,1.5352e-05,-1.41994e-05,-2.61492e-05,4.66677e-06,0
-3.30428e-05,1.82907e-05,-1.27887e-05,-3.95635e-06,1.1374e-05,-1.48302e-05,-1.86934e-05,3.76175e-06,0
-3.28097e-05,1.77708e-05,-9.69223e-06,-2.3729e-06,1.08439e-05,-1.58862e-05,-1.0245e-05,3.56835e-06,0
-3.24988e-05,1.81833e-05,-7.8599e-06,-2.67033e-06,1.36893e-05,-1.63984e-05,-4.38832e-06,3.7594e-06,0
-3.23679e-05,1.87284e-05,-8.39793e-06,-3.83494e-06,1.68581e-05,-1.49182e-05,-6.52729e-07,3.22375e-06,0
-3.11045e-05,1.87988e-05,-9.61182e-06,-2.6336e-06,1.89086e-05,-1.33702e-05,2.59237e-06,3.09733e-06,0
-2.95735e-05,1.74397e-05,-9.97394e-06,6.44585e-07,1.96714e-05,-1.33003e-05,4.61635e-06,4.28681e-06,0
-2.94566e-05,1.59894e-05,-1.01917e-05,2.67916e-07,2.02825e-05,-1.47234e-05,4.87763e-06,4.26668e-06,0
-2.87944e-05,1.7022e-05,-9.61883e-06,-2.62784e-06,2.12546e-05,-1.63528e-05,3.69375e-06,2.14817e-06,0
-2.84681e-05,1.99452e-05,-8.40083e-06,-4.21959e-06,2.21744e-05,-1.70196e-05,2.63558e-06,1.48561e-06,0
-2.90557e-05,2.25929e-05,-6.72828e-06,-2.06184e-06,2.08032e-05,-1.79742e-05,2.52928e-06,2.65006e-06,0
-2.99963e-05,2.29282e-05,-5.33036e-06,3.34124e-06,1.71854e-05,-1.94438e-05,3.9728e-06,3.18464e-06,0
-3.05735e-05,2.00017e-05,-5.3654e-06,9.76049e-06,1.43107e-05,-1.87674e-05,5.67618e-06,3.12449e-06,0
-3.1052e-05,1.46143e-05,-6.03655e-06,1.44555e-05,1.29717e-05,-1.56013e-05,6.98509e-06,3.14702e-06,0
-3.11086e-05,8.85282e-06,-6.32028e-06,1.39422e-05,1.19951e-05,-1.33669e-05,8.05487e-06,2.83998e-06,0
-3.03829e-05,3.78909e-06,-6.4743e-06,9.00459e-06,1.14802e-05,-1.28056e-05,8.935e-06,1.17397e-06,0
-3.01215e-05,8.89127e-07,-7.07953e-06,2.8727e-06,1.19617e-05,-1.25979e-05,8.65342e-06,-8.57881e-07,0
-3.07568e-05,3.28969e-07,-7.28896e-06,-3.59534e-06,1.1514e-05,-1.14774e-05,7.70568e-06,-1.23242e-06,0
-3.1424e-05,2.03725e-07,-6.69318e-06,-1.13548e-05,1.04985e-05,-1.05792e-05,8.3254e-06,2.22894e-07,0
-3.19508e-05,-3.4248e-07,-5.92378e-06,-2.24381e-05,9.70129e-06,-1.14615e-05,1.1404e-05,1.1382e-06,0
-3.19977e-05,-7.73775e-07,-5.43463e-06,-4.02061e-05,8.72508e-06,-1.17226e-05,1.42699e-05,2.77954e-08,0
-3.0941e-05,-8.19075e-07,-4.25518e-06,-5.62627e-05,7.79166e-06,-9.94542e-06,1.53494e-05,-4.56524e-06,0
-2.97905e-05,2.36688e-06,-2.87683e-06,-5.89555e-05,7.05297e-06,-9.01962e-06,1.60444e-05,-9.05487e-06,0
-2.90642e-05,8.50566e-06,-3.04479e-06,-5.14359e-05,5.80147e-06,-1.01402e-05,1.77444e-05,-9.52399e-06,0
-2.96105e-05,1.30811e-05,-3.90161e-06,-4.20586e-05,3.54653e-06,-1.18054e-05,1.84347e-05,-7.22024e-06,0
-2.91074e-05,1.3686e-05,-4.53488e-06,-3.3535e-05,5.82838e-07,-1.09181e-05,1.62698e-05,-5.24144e-06,0
-2.73632e-05,1.3122e-05,-4.6678e-06,-2.1552e-05,-7.91281e-07,-7.66487e-06,1.38434e-05,-6.22413e-06,0
-2.77461e-05,1.39781e-05,-3.32068e-06,-6.5402e-07,-1.20972e-06,-5.96804e-06,1.09486e-05,-8.90642e-06,0
-2.89264e-05,1.59861e-05,-1.0423e-06,2.4826e-05,-5.66742e-07,-6.13823e-06,7.00273e-06,-9.46743e-06,0
-2.78558e-05,1.83354e-05,-2.01744e-08,4.82157e-05,2.35399e-06,-6.81641e-06,5.07818e-06,-7.19972e-06,0
-2.78728e-05,1.88765e-05,-1.03854e-06,6.23477e-05,7.15369e-06,-5.99757e-06,6.2348e-06,-5.52097e-06,0
-3.07027e-05,1.66983e-05,-3.01252e-06,6.49285e-05,1.23342e-05,-3.37382e-06,8.72898e-06,-5.40683e-06,0
-3.24171e-05,1.37321e-05,-2.53162e-06,6.33962e-05,1.61753e-05,-2.65191e-06,1.16815e-05,-5.26667e-06,0
-3.19537e-05,1.13418e-05,-1.71572e-06,5.93629e-05,1.74104e-05,-2.93385e-06,1.34417e-05,-3.24976e-06,0
-2.96891e-05,1.07205e-05,-2.96008e-06,5.14712e-05,1.53333e-05,-2.33051e-06,1.38963e-05,-5.38904e-07,0
-2.76092e-05,1.02708e-05,-3.92557e-06,4.04315e-05,1.46293e-05,-1.95257e-06,1.46782e-05,1.20072e-06,0
-2.68828e-05,8.03138e-06,-3.74857e-06,2.76797e-05,1.78655e-05,-2.46861e-06,1.47508e-05,1.79213e-06,0
-2.68187e-05,9.15545e-06,-2.99063e-06,1.29516e-05,2.37716e-05,-3.45492e-06,1.44572e-05,1.04925e-06,0
-2.71817e-05,1.91692e-05,-3.24591e-06,-3.53729e-06,2.74203e-05,-3.23888e-06,1.39884e-05,-1.45105e-07,0
-2.72123e-05,3.49819e-05,-3.91485e-06,-1.59157e-05,2.75061e-05,-1.73219e-06,1.34591e-05,-1.12339e-07,0
-2.68001e-05,4.8655e-05,-4.3804e-06,-1.91705e-05,2.61228e-05,-4.47482e-07,1.32804e-05,1.25987e-06,0
-2.63632e-05,5.59499e-05,-4.5199e-06,-1.42176e-05,2.3802e-05,-2.00489e-06,1.38486e-05,1.63802e-06,0
-2.67462e-05,5.61762e-05,-5.60842e-06,-5.89001e-06,2.08869e-05,-4.7051e-06,1.54962e-05,1.85179e-06,0
-2.83974e-05,5.2363e-05,-8.02204e-06,1.48068e-06,1.86815e-05,-5.71737e-06,1.72102e-05,3.80079e-06,0
-3.09198e-05,4.60583e-05,-1.01762e-05,5.62733e-06,1.67862e-05,-6.21808e-06,1.93193e-05,5.41452e-06,0
-3.2457e-05,3.42408e-05,-1.00907e-05,7.03031e-06,1.49316e-05,-7.54424e-06,2.10883e-05,5.05866e-06,0
